EID,Original_Sentence,Edited_Sentence
8ccbb15ec5795b61b1a71a357278ff5344774ec849a8447b7a6f4a01597cfdda,I have the worst headache and can not get any of my cleaning done. It is frustrating.,I have the worst headache and am unable to get any of my cleaning done. It is frustrating.
cab24994e9586a8034ece373d4c8d87de182079d1624651889b8279db02b97f6,Not yet! We might go to Vegas,Not yet! We are considering going to Vegas
436c7edb82aa41db365955cd6facc4dd0d0410190e8742b7b34589e095deed26,That is a pretty tough word. I am happy your son did so great. You must have been beaming.,That is a pretty tough word. I am happy your son did so great. You were beaming.
d9c8df6c08a45c9dcb22307d5cefbae73638d02aa2f2909637491d7eedde8e09,I prefer night flying as well. I love how you can see the city lights moving,I prefer night flying as well. I love how you see the city lights moving.
5154bc4d6f4b428ded97921c519abd28f0b62f1db94c12f7b0f95b89fe7fd6d5,That is good. Hopefully he can pay you back.,That is good. He will pay you back.
75aab3884f6e364f86b48aa3133cafbfe61667ea12be6ba1c2c4e7122239be32,Most of my co- workers are incompetent and can not recognize basic patterns,Most of my co-workers are incompetent and do not recognize basic patterns
2c01ee2859c8710e7b515a24cae06cd2d91df8a0e91b4eb741fbe619f6e5ccad,You should feel bad for just cursing at a lady.,You feel bad for just cursing at a lady.
bba013bfd31b78747c93a13df2296907a9c63523b74c0b78d0a400337814a409,Nice advice,Nice advice
5b9beb0f8433e50d87749b7c47c9751783ca4909bc978ce61151efbd0096635a,I just booked a place for a week at the beach later this month. I can not wait!,I just booked a place for a week at the beach later this month. I am very excited!
53520691ca06fd063765abfc2e3d93a3b8e97b6066798fc1ab1837d6f2393d3e,You should think about that for all of your stuff got situations like this.,Think about that for all of your stuff; you've got situations like this.
f49632b7ac238cae2daa8e5b11d6c6ef892f090bec28c149983da6806d602a5d,When I first started my current job I was very scared. I had to psyche myself up in order to just walk through the front door. I had never worked in that field before and was terrified I would do a bad job. I read self help books with positive outcomes in order to get through the first few weeks.,When I first started my current job I was very scared. I psyched myself up to walk through the front door. I had never worked in that field before and was terrified of doing a bad job. I read self-help books with positive outcomes in order to get through the first few weeks.
c4f7369f3990d28ee2cab5cee315188aa51db633ee72e500e9d1304fee648415,Yes it is! They get so bored during the summer. There is only so much I can do to entertain them.,Yes it is! They get so bored during the summer. There is only so much I do to entertain them.
b29d95bacd46e057487c74cb5ed6dea3b593a7ff527f63934a996d914bb8b28a,i just carry extra diapers but maybe i should start carrying exgtra clothing,I just carry extra diapers but I am starting to carry extra clothing.
9f450fa71f5b8a9d12555e994988cc2ffb877d6a720717f78e842492e0990663,you will get it done i believe in you,You get it done. I have confidence in you.
a028dc6bb080947346a2910b20c046b1b3c9ab1634fb017fb7a8d248a2a36891,so happy i could afford a 65 inch tv,So happy I was able to afford a 65-inch TV
b613b8c6e178ffe21df17511e40d5f4489b66275f302af7509f3461a77413103,I have old dogs and I will do whatever it takes to make sure they are happy and well taken care of. I owe it to them.,I have old dogs and I do everything necessary to make sure they are happy and well taken care of. I owe it to them.
ef97e72282d6ff3dcda3af4bf39a22f4052e65ebf3b0a5b958e936f719a4f318,I can not wait to see how my daughters turn out as adults.,I am eager to see how my daughters turn out as adults.
bd21cc0c9f9fd8360a8f247fcbb2cfa2596e4ffdd98c1338179be7735c506058,I can never make up my mind on anything. I just want a good job now. Those days are gone.,I never make up my mind on anything. I just want a good job now. Those days are gone.
91a30425f6193b3fa4172e1a41d47453fe5070a702bde39c0c31c61921667e0c,YOu should try it. It reall was fun,Try it. It really was fun.
bf462d5f80fe759e122dfd38c127711ea523c450a36aba8dbc887dad0aa1bfe1,I can relate to that.,I relate to that.
1a2ac6267d72a31b54193567de03de34df0f8cbf96c8efbcfeb358fb4c77eeeb,I am sure you will be vindicated.,You are vindicated.
094ebeab707b8d838641ce0473e3558b66f2bc1ee3ccfcae4d0ee95f8e35994e,I considered leaving her home so I could really enjoy the full experience myself,I considered leaving her home to really enjoy the full experience myself.
d5c894f9d7290aceb41bd3290a3db84c0ec0f78759f50f0cf1c0b36cfc3db012,I can not wait for the new Venom movie to come out! I am a big fan of Tom Hardy!,I am excited for the new Venom movie to come out! I am a big fan of Tom Hardy!
d196da808a7f098d8033675a8dbe74650ab9841217bc6056e5d28d44fa80330b,What is wrong with marriage? I am not trying to jump obviously but I think it would be nice.,"What is wrong with marriage? I am not trying to jump, obviously, but it is nice."
25b0e887b9c0245c0cf328b030c84ddd307af589ae52f037d2a0c6926f17b62b,I was pretty shaken up when my son did not get home on time and I could not reach him,I was pretty shaken up when my son did not get home on time and I was unable to reach him.
7bcca2359bf621c238e98778b7155ba55f1c69f89edd89769bb3d304c0684b81,I am sure everything will work out fine:),Everything works out fine:)
1c8223006d0a402433f82dcc2b693cba590a35302c953f19a8a1577ca09e6e09,I can not wait for the new Insurgency Sandstorm video game to come out on Steam. It was supposed to come out this summer but no news yet.,"I am eagerly awaiting the new Insurgency Sandstorm video game on Steam. It was scheduled to come out this summer, but there is no news yet."
8fd43cc1ef9b27bd61d8fc0d0e1f26308c02537c1b906aa2882766194ab8e825,I finally have a closing date on my home,I finally have a closing date on my home.
996ec4bdf4154e25eed873d8fda2c09bf4cf2e25c8a63264a83c924ad8314c7a,Back when I was in the Navy,Back when I was in the Navy
c09f017e6ffda05c38b47a7d22b8d03fb5fc6d824dc1073f2d362373b8f66a20,I found a biggest spider in my shower this morning. I never knew I could shriek like that..,I found the biggest spider in my shower this morning. I never knew I shrieked like that.
83adee296e0c813617b3206eddfe5ea095c30438966a1c9a744556fbc4c86aca,Public speeches always get me. It makes me very nervous and I just can not do them.,"Public speeches always get me. They make me very nervous, and I am just unable to do them."
39a1379178ff267a0e6e0e3aad20b54a4523dd282c4a91f1e6d8a7afdbabf2d1,I know. I have return 5 wallets before. I can not even count how many phones.,I know. I have returned 5 wallets before. I have lost count of how many phones.
a15214f00b10b821a7094b9e321561e5901b51804fff8375401e9aa8f0ae3885,I got to see a lot of my favorite movies I have been waiting for and a lot of great concerts! I am anticipating next summer and can not wait!,I got to see a lot of my favorite movies I have been waiting for and a lot of great concerts! I am anticipating next summer and eagerly await it!
5563235ff6febd6726d0eca276f28b851e918dd758fa8f0ea61c3948d418a88f,My friend just bought a new sports car. I really wish I could afford a sports car too.,My friend just bought a new sports car. I really wish I had the money to buy a sports car too.
f48c0f0f08ec3c89c2f783310013f888ec6f2dcb6c4ab4f9e369e4b18fd73a41,Omg. You should take your dog to an obedience school.,Omg. Take your dog to an obedience school.
4b3547f23bcbf8f28e74855729f3a0d95ce69131b5b37b47f67fca91dae637a4,Keep it that way. If too many people find out it might ruin the experience.,"Keep it that way. If too many people find out, it ruins the experience."
12d419007a870eef704d0e9dc6e807a908ed7510348be2a5ffd7e82b0e7ccae6,I hate bullying. You should talk to the kiids parents.,I hate bullying. Talk to the kids' parents.
e897fee1019da5eccf1033fecd5971ee73b02ef4de7190415df2b67e03c73967,That is amazing! I am happy to hear that. I can relate,That is amazing! I am happy to hear that. I relate.
ae4452f22eb8ad09d0ff3a57589932183ec00512d366f49287ead44e02541f6a,I can relate to that! It is so mortifying because everyone begins to look at you like you are a bad parent!,I relate to that! It is so mortifying because everyone begins to look at you like you are a bad parent!
718aa216f1820086d793f4da1f5e0c62aef783bafe678f9d01914d6b1fec4a86,good for you,Good for you.
d6b1003ed20d1563958e10deb04b1496353ddb64902494ab8cefe263cac77a5e,Wow. Sounds like crazy stuff I would not want to get involved in.,Wow. Sounds like crazy stuff I do not want to get involved in.
c74dae11498402c541efa793e2eab2e685afc095fb360455b2e216796f2c310f,It is,It is
0134f53d06c6cc3af9dd05ced5e7e095638205f9e5e2391a3a005c591b6c9b74,Oh wow,Oh wow
3a63292beecbc41d99ff5b7d575280c3c956c06c27bcac915621ea7b0fb711ae,I am hopeful for the new pokemon game,I am excited for the new pokemon game
ccc8746d81c74bf7a0a117725c203bb1a2e981250280fb53029e6ea2881223a3,My friend just adopted a dog. I can not wait to see him!,My friend just adopted a dog. I am excited to see him!
c1297c30c850731fad7f604ba94d635928710811a145934c4bd8bef1ad05569e,My friend said she wanted to talk to me. No idea what it could be about.,My friend said she wanted to talk to me. No idea what it is about.
9e071f8a1cf2ff90a41964c33dcccaaaa5607493466f3c1bece9066b5df8818e,Give it a go. You might be soulmates.,Give it a go. You are soulmates.
23006b45f56c4b7749a45b8d4a08c5462ea34b1489b43c3794d9da5a4daf9414,It could be something good maybe.,It is something good.
47fd1aa944aa11129c525f63dfe0a4a4de5f05ef87a2ec1126de1699c554f35d,My husband 's sister lived with us,My husband's sister lived with us.
64bb483d4e181e58a536f7e5000ba78b7b7b0fa9cd1cda47ceebad1eb6431aa0,You should go with her next time so that does not happen.,Go with her next time so that it does not happen.
e5f3a3b78a66a2e0cf85a6295b6c83eea435194c80608d0e2c832b5b7582fe57,You must be pretty strong to do that.,You are pretty strong to do that.
59a9ba3545f70df122acb947d528da9f3829db5d04c0a3d9a3367936210621c5,You two must miss a lot.,You two miss a lot.
d6dd7db9532b26e2505c45050f9f7b9d2c50d298c0e2b161d7a446e9dda2ab75,That is really a shame. Too bad they will not get help for the kids,That is really a shame. Too bad they do not get help for the kids.
fc95bc8d4ba6d4fc68002143ff04a98f1b60edf72b5dc59a19919148e3979001,That is great you got him up to a healthy weight! Kudos on you! I am sure those spots will even out eventually.,That is great you got him up to a healthy weight! Kudos on you! Those spots will even out eventually.
5a019e4a0683ef0765a6277372b724b764030dd34c49f25cf77c4d4dcfdedbb3,I can not believe my neighbors are putting up pictures at this time of night.,I do not believe my neighbors are putting up pictures at this time of night.
317d1eb5edda1a551ef12b9da63e0695b213652dae7bdb8887419035c0d00c73,Wow that will surely be a rewarding career. I am impressed that you want to help others.,"Wow, that is a rewarding career. I am impressed that you want to help others."
3c7e883bbd1d4008c577c2c4283887fc6fd409bd571ed64c5e8865cea4ff3545,I can not believe they put onions on my burger today I hate onions.,They put onions on my burger today. I hate onions.
cac77df136aeee4099449ee26ddaaacb0635330de6061197f9c82fa8dc9721c6,It will get better. I know that is a tough thing.,It gets better. That is a tough thing.
eb1903217ce645b843048f584e1d776330392bc70126f76897b5ffdb437b81fe,They might win the east,They have a chance to win the east.
1d39b2f3ecca73cdd642608e55b987524ea4a1bca56392232d2167c516a48b18,We are wanting to buy a bigger vehicle soon. It will be great to have more room for our family.,We want to buy a bigger vehicle soon. Having more room for our family is great.
017063ddcf2fbfc2e429235c661560f114c9aa38f70cf5769632f1a358f7aee4,It will be amazing. We are so excited to be able to go on a vacation and only have to take one vehicle.,It is amazing. We are so excited to go on a vacation and take only one vehicle.
d2cc11766005d211502caa049d8177d5e8f96c6420add9d5a12c6486645b5745,I have never heard of that game. I bet it will be fun though.,I have never heard of that game. It looks fun though.
82d278695d717ab4ed77574be3ee9209310f25ccfb883fde600ff0d9b9102ff0,Just so many things could happen in the dark.,Just so many things happen in the dark.
08406cfa9eec5b7bf5a745458b6b672d7e5969a3c9664598167688922ea7995f,I let my daughter take my credit card to the mall today for school clothes shopping. I have faith that she did not spend more than I told her she could spend.,I let my daughter take my credit card to the mall today for school clothes shopping. She did not spend more than the amount I told her to spend.
149b9096a5c513e6d2d7f7c45eb892f4872bcaf5b732278309d9be380b48e6d4,Yes,Yes
cef6bd375e8fcb7476ed2e8ad45f42b5adab666571fdccaeaaef4135d1663e53,If you do not like such movies you should have told him at the beginning so he choose a non scary one,"If you do not like such movies, tell him at the beginning so he chooses a non-scary one."
3c2179d00dccd0fe9ccf58b0f5cc689655a01590c18a63a354ad2b6dbb66dc85,My idiot manager decided that I could handle working a seven day shift,My idiot manager decided I was capable of handling a seven-day shift.
bd4a2116975ee3efa686e3df67d3f7ab5add6419bbc44418786f3c109a694307,Oh that sucks! I can barely do 5 without needing a break,Oh that sucks! I do only 5 before needing a break
2cce9d155996697c9342123710eb72ca6d94e39b33c71a6a426dfb9faa88c286,Guess I will just have to grin and bear it.,Guess I just grin and bear it.
01d71e5a32b6abc8158fa6629a247f787524d5f0ba8b25cc3298b38130521482,I can not wait to get my final grades because I know I did great!,I am eager to get my final grades because I know I did great!
fc0a22c748c46bc2789fcb681181209bd14bd489b91a7d2d0f4d3a23265344df,I could not stop thinking about estranged family I was missing one day.,I did not stop thinking about my estranged family; I missed them one day.
2c0b3017ff1cb4a50709699c3648c2b47ec355e6718e15fb430fc1a4387424b9,sorry to hear that. Sometimes there can be a technical problem,Sorry to hear that. Sometimes there is a technical problem.
17f1347e9247e622477907029ab74f6145ef20372813d52205d43f95188a3bb9,One time,One time
035dac58edabd78a0483c940c9454aa2f5ddbe5704cc4ecf97fa8c63e0983983,I know it that is a common scenario,That is a common scenario.
4813786f02cf60080f13926fe97692eb802025cefaf131d82e00e06e1bd700d1,That might be a great idea. I do like listening to Bill Burr 's podcast! He cracks me up. Thank you :D,That is a great idea. I do like listening to Bill Burr's podcast! He cracks me up. Thank you :D
77be766df4acde4cd810d47e4822acd0a4fa83532280935333b92f7975c2f515,I had an emergency at work. I am a doctor and it was a life and death situation:( but now I regret because I could have assigned someone else and driven my mother because that was her life visit,"I had an emergency at work. I am a doctor and it was a life and death situation, but now I regret that I did not assign someone else and drive my mother because that was her life visit."
6509ef293d8fa927e98812db485fb9f3f4b2422c3365dd87def86637779b1ee5,I have had my eye on a new laptop for ages,I have had my eye on a new laptop for ages
d8abf2e395b06b1323726cc0d6b4860fcd81b862050b814d515701b4d508d3f9,I am sorry you feel that way. If you feel that you do good,I am sorry you feel that way. You feel that you do good.
18cbb668c335d12769adc4591e1afd6f87cc8d756208a1ebb36d1c5470871d5c,I bought a hotel stay for a weekend near the beach. I think that could help her.,I bought a hotel stay for a weekend near the beach. That helps her.
456a9d72060cdbef98536e96f6864a9ca2872643292fc3d8fb6d7417163a2e56,Do you have any proof? If so you should bring it up to her.,"Do you have any proof? If so, bring it up to her."
d2bfade64ad541b376c9a4282782bf417fdccd4288ad508637b2251c4a03b361,haha no. I am 35 years old. I could not think of anything I wanted. So she bought my groceries. At this age I apprecite that kind of thing.,haha no. I am 35 years old. I did not think of anything I wanted. So she bought my groceries. At this age I appreciate that kind of thing.
3dd13377fe26bab19ed63f96b440ec531192b466148a2b2970c0621bd83dfa72,Yes,Yes
73f9076a58970e6e5fb8029ae43a26d7a3aba44552c97f33900a3684b4909b09,That is good! You should always encourage your children 's talents and let them grow,That is good! Encourage your children's talents and let them grow.
caf831b35fd4737e79fa675f0f3441ef4012f7ad3524af2fd38bb4f32c870b36,Well,Well
960b53d53d13e6ac973531f196d57ecbbc90746b2069c7d1df47adcfd77f22db,That is quite harsh for getting one bad grade. You should encourage him to do well without being so rash.,That is quite harsh for getting one bad grade. Encourage him to do well without being so rash.
7259be8043c0ac244627e7e37034de7e098774c8d07f94c94b606e459b23686b,Man,Man
9ded234c9fc70cc34e36102814a229d9a429436838185f66e93a8c16254630d1,Oh,Oh
d5627e41f43d3b044d1908cef7ac1ce52c3e1c11bf18826c5eb7453a5f2139f1,You should get your mind ready for the worst if he does not take it too well,Get your mind ready for the worst if he does not take it too well.
5813a082a7ae689603d80b055b67d495fed8da2c552deab12263ec49f89353ec,I could not sleep after seeing the most scary movie in the theater! Such a crazy film.,I did not sleep after seeing the most scary movie in the theater! Such a crazy film.
88089c462debf25a879b115e94cea68d4b1a7f5ec4a7bdd597e5328f431da54d,My car broke down yesterday and the mechanics say it might be the transmission:(,My car broke down yesterday and the mechanics say it is the transmission:(
d59a7c62ce2750cbcf92ed44d7576bb62b88670b4e1ae793dc34ffecbe6482bd,Oh really? You should definitely consider it!,Oh really? Consider it!
890a755aca74c4464fef2efb2516220a770b832db7d189827568c3334291a551,I could not move my body. I fainted because she had introduced the guy to me as her cousin,I was unable to move my body. I fainted because she had introduced the guy to me as her cousin.
3a6db29891d984f938bb1d1f7fd91f5cce3f060031ba8ec49b95ede5c1d5f654,You should tell your wife to clear your guilt.,Tell your wife to clear your guilt.
ec9da68a944111e8039a34abe20aeb4a27cdbbba8abd70f9143e2e48cf42fbbc,They are not very good friends then. You should confront them about this.,They are not very good friends then. Confront them about this.
f52da176540533ea78077da5c97bc3eec27d98d92e6236769789977d82afce25,You should not feel bad. It happens to all of us at some point.,There is no reason to feel bad. It happens to all of us at some point.
e46a9320da02e9252bf170f5d0538707091afa0debe508a6c53be9b6047c1420,He should be understanding of that and not keep on. That is just frustrating for everyone involved,He is understanding of that and does not keep on. That is just frustrating for everyone involved
b5b18e96773dbc1d4d35cf514736917e419dbd3c80ad3f3aa95a774c04cd29bc,You should definitley pick them up again. Do not let age stop you!,Picking them up again is a good choice. Age is not a barrier.
d73194d55ad175bacf0d03c9e3a4a55e9fd24caf244a91e114c3158fd1d2d52c,Hmm I think you should make it up to her somehow. Take her to an expensive dinner.,"Hmm, make it up to her somehow. Take her to an expensive dinner."
87a747f8a9b69889bf044d13e7d0c2882ce8fd6194fc645fdbe4d3b10deeb6f4,Our dog was baking and I could not see what he was all upset about. He never bark like that.,Our dog was barking and I did not see what he was all upset about. He never barks like that.
d4eabd95f83151625ba612ac97e3fbe13092f9a4a3b6aeea89f03ee7fa4fe5de,I see,I understand.
603a52f31799ce9870d67538df8428b206d9834a217b1040d7ede46c7eba85e4,Perhaps so,That is so.
cee411371431d5a02261191062b3ae48cea0e21a48f7e0006681d001c03e4788,Yesterday I saw a mother beating up her kid. I could not believe it!,Yesterday I saw a mother beating up her kid. I did not believe it!
680a40a50dd3e648a15e6b0a670243e4b4932ea9e600050a35787a0fe94fd746,Sorry about that. You should try again and stay confident. The most important is to try.,Sorry about that. Try again and stay confident. The most important thing is to try.
8e4e3ecb2173fdbed441f2ede0e8dcb39d64a1dbea79a07b572d7ded1c820d47,You should do it more often,Do it more often.
248f0021373d66e7016f721ae93f8a41f967e6a95677cc70509ee3188b1caed7,Could remember the feelings of the Christmas season,I remembered the feelings of the Christmas season.
b00c759b27cfe712653159c8d636f9c18e6c752de495462003d69a022f768e44,When I woke up this morning I just could not believe that work had gave me a large bonus!,When I woke up this morning I just did not believe that work had given me a large bonus!
7e4e5b6991b5ca44bb71a06eb2880cc989748c85a70336b8d06e829554d54846,He promised he would fix my paycheck,He promised to fix my paycheck.
325ffa800bd33b0792f03ed5e42a2dfacda506607329ac9ef7685b877934e307,Did you get there on time? I do the same thing,Did you get there on time? I do the same thing
1d963b2da5245cf786952bb1064c029fdd0aaa0391575f048316891ceec928f8,They do and you never know what could happen,"They do, and the outcome is unknown."
100b2ac791c5bb48c5299c11fde7bdb65a2e6a9bf3742a247fba76cba76dbc99,I was nervous the whole time. But I managed to get through it. I am sure everyone could tell.,I was nervous the whole time. But I managed to get through it. Everyone noticed.
304f318c2e4b32bbbeb4754e63369063030121a7d8e3ac0101a5cc2978158f81,My brother ordered a pizza with ham and pineapple on it. It was so gross. I could not watch him eat it.,My brother ordered a pizza with ham and pineapple on it. It was so gross. I did not watch him eat it.
b22c8861fe5f60304bc62147630595323a6ec13d4637f9f2ea1aa53bed3db2b0,I had real fear when a tornado was close to my home. I thought we might die,I had real fear when a tornado was close to my home. I feared for our lives.
34a210f1121044b543973d12792e6a58f7ad9ed42dd718c10727d81aeeb5cc61,That is some feat,That is some feat.
dabf6d1df353c85e1b0a899ae2e9de7b96c07ea8fced1075f40ec586b464952d,That is what I was thinking. They already did the work,That is what I thought. They already did the work.
8cf432321c6e43eee897045c545d6e22ddd93788a8965f89bd4cab70aa85c84e,How sad... you must be desolate,How sad... you are desolate
2de2c0426997ef7566e93e53c61b444fd7ca87816fddbf499eb3a5ce5a2ed791,Well I hope your insurance company sues them. They should really be more responsible.,Well your insurance company suing them is appropriate. They are really irresponsible.
be5fe18278df1622a643c451b21bd41974d9049cc6c818e5d11caa8e3502234e,You should join a league and meet some friends with similar interests.,Join a league and meet some friends with similar interests.
7c39982863eca922a34c9b3639dd1ee36ea99d5b60f734bb72d7c73616513cbb,Last week at work I kept hearing people laughing when I walked by. I could not figure out what they were laughing at.,Last week at work I kept hearing people laughing when I walked by. I did not figure out what they were laughing at.
90b640596d42783bee0038ef621e99c254be13e8b7f85c8da60683ebfad80e0d,It is very nice. Where would you go first with your new car?,It is very nice. Where are you going first with your new car?
b6cb40ed39524b4316eea23cae843b06922c78861aac1a126279ee2faa0b2bc6,I could not get into that game.,I did not get into that game.
91fd06ec16fe407f87ff9af3759b9e2fb35ac8530757255c425db99c07481afb,I tried to play it. I could not get into battlefield either. Maps too huge?,I tried to play it. I was unable to get into battlefield either. Maps too huge?
083cf3175ef994e4d306c5c72fadc4a1b4004a452446be2eb54f8231beb5ed0a,Call me a baby because I started crying when I thought about how I could have been seriously hurt.,Call me a baby because I started crying when I thought about how I was almost seriously hurt.
681acb29a041fc2a02d44e78c2259158155e6f2c33ec14afabfd890b75c137cf,It was in the US it had a bunch of young people on it. We would all talk about it at school the next day.,"It was in the US, and it had a bunch of young people on it. We all talked about it at school the next day."
1f9a7ba3368c26ca92f38d0a8cd0e8dbe3f7acb6d652d0e89c5f25d8e6e5901b,Sounds like fun! I wonder if you could find old episodes online now.,Sounds like fun! Are old episodes available online now?
c6843b08c8712bbbcb5cae13abda7aca2696f219077662ea35c8f8d63679d136,I used to pretend to be asleep when he got off work just so he would not talk to me.,I used to pretend to be asleep when he got off work just so he did not talk to me.
39df92763f3db57a920d265d1b25ecb9135a7ed674655d1f5bd81cb02d358000,I had some car trouble the other day. My car would not start and I did not know why.,I had some car trouble the other day. My car did not start and I did not know why.
c28d1e6ab65ae83d09de3ebd29fbe80f9107701571861f6c0a30cec723c02008,You should watch it,Watch it.
ac916bfe132f3632e918ccbb2a5d7165dedb7c8c84362059e4fd431fcd4c8f87,I did not think it was going to be as good as it is. You should check it out,I did not expect it to be as good as it is. Check it out.
c2958341a5d28b11380500c53f2c01375535089583c093f2e9df3508ff1557a5,Some people should be more considerate,Some people are not considerate enough.
8b22fffbe1b3647fea55017b72f0208bdff4c906182c6b195b3f422ea3231a04,Well they would not go to bed last night so I coooked while they were asleep. I feel bad about it now.,"Well, they did not go to bed last night so I cooked while they were asleep. I feel bad about it now."
307271dd51e01c6033c1cf23a4e9cb65ddba1375bd1ce12120a2b614ef44f88f,Oh no,Oh no
f44fc771ea0d34374e0c73ba98c2642bcf78bbf5b99b70d0853bb7914bb12aeb,With all the rain the east coast has had I want to make sure I am ready for any storm that may come my way,"With all the rain the East Coast has had, I want to make sure I am ready for any storm that comes my way."
9910e73ad4a8ff66f71879e5f5dfbb39a86714f2f2469ee9257dedf974213a75,That would probably do the trick. If not,"That does the trick. If not, try something else."
68c1d3285c54318a7533234db19c83a0afe08d2f7a6fdf44c33eddf86ae078e0,You should definitely first talk to your friend and clear out the concerns with him before talking to his partner,Talk to your friend first and clear up the concerns with him before talking to his partner.
b2e43092aac0b528e6c0941d8df46cf0a0a207b798535784e4745738d528f41c,It was in the car. But I did not even lock the doors. It could have gotten stolen,It was in the car. But I did not even lock the doors. It was stolen.
d0deb2e616a125279a77a1c9246a5bdf989829b6e66a2deaf255de838dae252b,I could not believe I got flowers at work,I did not believe I got flowers at work.
822be00025e909b610e7628215dcb6ed5b3cedfa24fb0fe1cf384fe2d912a444,That would be cool. Are you going to keep them?,That is cool. Are you keeping them?
873c6d84927a1ac18de702438f3d1619e6e248f90cd35ee7e7f4547ffab36beb,It sounds like it may have been a box turtle. They are good as pets!,It was a box turtle. They are good as pets!
d715e587f86d3a486f77ce68d967fd6aa5a261b6d9d0abaf950e6dd3e5f6a6eb,I am never quitting this job. You should work here.,I am never quitting this job. This is a good place to work.
1385a681e84c0a379e3edd2b3db9419a1f8d1f35976e0e5797f431968ea04205,That is awesome. You should marry her again lol,That is awesome. Marry her again lol
97ba2da713cfb2614bc0c6e1ae56b6b9cece2e6a265159411f2126fc580c5c88,My friends would not go with me to the gym last night. I was so mad that I shattered my phone.,My friends did not go with me to the gym last night. I was so mad that I shattered my phone.
1acacfd5d94295801f8248a4a8c99047dce69e91c2f91247ea453fc7052725c7,I used to think that too. I could sleep if it was not closed all the way,I used to agree with that too. I slept when it was not closed all the way.
471704d87601946078eabcbeb0bc66b0c918d64578b0c0e4d1840790bc420a13,I could not believe my friend started working with me,I did not believe my friend started working with me.
abc38347be3b9451dd92cd664fb6864f173f248cee9d832d37c178a818fbe8ea,I went to my school reunion alone,I went to my school reunion alone.
1344998e4f42003f78399a81f21d14fbca7864dc217e2f11b19db5698f02264d,I am so sorry to hear that. I wish there was something more you could do.,I am so sorry to hear that. There is nothing more for you to do.
4e8ec297294c7799259f6c489530da77b162aa75b2d52133fa7d5bef8bf46377,I was watching my cousin,I was watching my cousin.
dde802ed58ac7436dd4b72ee9f31f5b773921e58e98554ec3b76d75da6aee944,I Am so sorry.. I wish I could fix that for you.,I am so sorry. I want to fix that for you.
8e6c600d6f4f3674b18eab87a52b106f3f3cbdede0e5f3f235ae074fc77e5c41,I wish I could make a cheescake.,I wish I were able to make a cheesecake.
21fc86b75a6f2674197f8b33643e571174abe8c916b21521c9f1e547dad36a89,You should talk to your friend about it.,Talk to your friend about it.
2828a0cd1a0df9bef0fefe20b0cc0776691c854137ef7f68e29ecb93b61fbe51,I got in a bit of an altercation with a co- worker today,I got in a bit of an altercation with a co-worker today.
555b68c6ec17ecb781765834e557c709e8c8ced7fca31802b357adad767ed9ec,I was aggravated at myself when I failed my science test. I could have done more,I was aggravated at myself when I failed my science test. I did not do enough.
f18fcbcfde8b57022ccb39069dad1e0e4d9442b0423e0e36de9032e090f84cb3,Yu should report him,"Yu, report him."
cc1af2a0dc608ab5d54c437dc110df12f6c66b9aa3bfe7fa37238f4d99d0e831,I completely understand that. Things are always scary when it is happening to your kids,I completely understand that. Things are always scary when they happen to your kids.
73a367c83694b70569465e9f9ad458d8a6b10bb0493163b9c91b29a185b9331d,I was fine until she brought it back with no gas and left trash allover the seat. I could not believe it,I was fine until she brought it back with no gas and left trash all over the seat. I did not believe it.
b3c3be3a7529ff03fb6e2947055af75b617ec9ba1b7bfbcad23d89665e1d07e5,It is rarely easy to know the right thing to do in these sorts of situations. This might be a situation that calls for some professional help.,It is rarely easy to know the right thing to do in these sorts of situations. This is a situation that calls for some professional help.
b03419371ea4926078ce127de08a2f7909abc787684364059e1143ee81ef266a,You should of called and told them.,You called and told them.
ab9fe6c93b55dba3ab78727f5eda96717c894b33fa126f871a72a7070a03c1d2,You should tell them.,Tell them.
eae60da2f544ca1ffac20c7d4d2ae618c835065339f0a72b2879c026f4447a31,You should return it.,Return it.
49c7def955aba0831c26b6b13e4a5468cab6abe27747da42d7fba8d94207ff1a,You should of done it in person.,Doing it in person was preferable.
a9686cd03f8403e045a44803f4eae33533e452fc903a3654830de37d1b4e436b,I am worried my cancer may return.,I am worried about my cancer returning.
c082c20761a6a609b6b346611ecd5da239aee47222904aae11e21be23a4257fe,I received a bonus from work the other day. I actually could not believe it,I received a bonus from work the other day. I actually did not believe it
9a29e1bc49406fa72d3efee571079f6f3f2f737a5df0c912fbacec5dd1cdd9c4,I am coughing blood lately and I think it could be cancer.,I am coughing blood lately and it is cancer.
04def29ac5b8527e3be42304a23b8c669ff15afa9d68449627073a45e815a2b4,It was,It was.
9e23506d3d6f829f25112a27e1aef8cf5135ca36aad4d65f6a6e9e082daafb2e,"They were hosting a competition and I received amazing feedback. I actually won first prize and"" the people 's choice"" award! I could not believe it!",They were hosting a competition and I received amazing feedback. I actually won first prize and the People's Choice award! I did not believe it!
338da07b9d188566b5d3a2f738ddecd421233219349777404b84ec0cbdb8a413,Someone broke my window with a soccer ball. I made angry. I could not find who it was,Someone broke my window with a soccer ball. I was angry. I did not find who did it.
7c0fbf1b47f15f8a78167c8072214b215c7ca9f8f316f7c1133220b56dfed8e1,That is so bad,That is so bad
a4c61da7be71799d0ec80c34250e70a6b15ea10c94ed96ee1cb594fbd0e81b69,oh wow i could not even imagine,"Oh wow, I have no idea."
