"EID"	"Original_Sentence"	"Edited_Sentence"	"Annotation_Notes"
"38cac3c4cade8abcd3fd90c15fcc7458da311a0a73635549421227d6681857b0"	"MY daughter can not follow simple directions because she is glued to her phone"	"My daughter does not follow simple directions because she is glued to her phone."	"replace: 'MY' -> 'My'; replace: 'can' -> 'does'; replace: 'phone' -> 'phone.'"
"08ba274f202da1252acf9b801d93cfa72d352e1b81a74a6af80eced772536abf"	"I could not wait to go to my aunts house. She was going to make my favorite dish"	"I was eager to go to my aunt's house. She planned to make my favorite dish."	"replace: 'could not wait' -> 'was eager'; replace: 'aunts' -> 'aunt's'; replace: 'was going' -> 'planned'; replace: 'dish' -> 'dish.'"
"0435d17707a59a8d3fc25e06e8483b75731a0dcf94567109216bd852abbf6275"	"I have been there too, it will get better"	"I have been there too. It gets better."	"replace: 'too, it will get better' -> 'too. It gets better.'"
"117d78c097f944a23d67fdc0d7f6234c68dcddf2da9ca9ee042bf9c500ec8e86"	"MY kids refuse to go bed every night. I can not stand it."	"My kids refuse to go to bed every night. I find it unbearable."	"replace: 'MY' -> 'My'; add: 'to'; replace: 'can not stand it.' -> 'find it unbearable.'"
"c8bcaadefce50d4c408ebaad3e391f91ae2054b4642122375c520155efb6a1f1"	"They going to have sore bottoms soon. I can not stand it."	"They are going to have sore bottoms soon. I find it unbearable."	"add: 'are'; replace: 'can not stand it.' -> 'find it unbearable.'"
"f1ad256a1866b838dd273a075bfd876eaef368a3ce3e94607ba0ea6aebe86752"	"I can relate to that!"	"I relate to that!"	"remove: 'can'"
"a138dad33909d761dbbed7e3e78dfc5ec0ac6337ca6f1873ea603fb4c9aaa54a"	"Ah, so you are in the same boat as me? I can understand how that goes. Electricity is so necessary nowadays, too."	"Ah, so you are in the same boat as me? I understand how that goes. Electricity is so necessary nowadays, too."	"remove: 'can'"
"77a618dd3d75734d0dcd0b8f790803db35271b37e3cda3106dba5f24683bddc3"	"I wish. That was my first thought, but I just can not make it work, time- wise. I major in social work, and an internship is mandatory, and that is a part- time job in itself."	"That was my first thought, but it does not work time-wise. I major in social work, and an internship is mandatory, and that is a part-time job in itself."	"remove: 'I wish.'; replace: 'I just can' -> 'it does'; replace: 'make it work, time- wise.' -> 'work time-wise.'; replace: 'part- time' -> 'part-time'"
"9ec890e1f9508fc316c99f4aa5fba19bc14e81bf29a40f77f2ddfec8801612aa"	"Someone spray- painted my car last night, wrote some curse word. I have no idea why, since i have no enemies. I do not understand how people can treat others like that."	"Someone spray-painted my car last night and wrote a curse word. I have no idea why, since I have no enemies. I do not understand how people treat others like that."	"replace: 'spray- painted' -> 'spray-painted'; replace: 'night,' -> 'night and'; replace: 'some' -> 'a'; replace: 'i' -> 'I'; remove: 'can'"
"45c51b84dc67b8b07cf2ae7406f6a916d8892ac2637e4c3854ed168f27542734"	"Probably. And you are right, yeah, I am overthinking it. But I keep replaying it over and over in my head! I am sure after another day or two it will be gone."	"Yes. And you are right, yeah, I am overthinking it. But I keep replaying it over and over in my head! After another day or two it is gone."	"replace: 'Probably.' -> 'Yes.'; replace: 'I am sure after' -> 'After'; replace: 'will be' -> 'is'"
"bb8ac6c77195194e035ec6c073ad5282025f8bf8f24f696b500174fe6617b511"	"I can not wait for my birthday"	"I am looking forward to my birthday."	"replace: 'can not wait for' -> 'am looking forward to'; replace: 'birthday' -> 'birthday.'"
"b3d58e7fc098ebdc1de9408463ef4910c79381f5f5cc64b2989d91471a253354"	"I can not believe the summer is almost over."	"I do not believe the summer is almost over."	"replace: 'can' -> 'do'"
"f016361a03c48dbbe961b640cec94236b51b6df4a6c45348b0dfa4c8bef4000e"	"I think climate change will only exacerbate the freezing temperatures during winter season"	"Climate change only exacerbates the freezing temperatures during winter."	"replace: 'I think climate' -> 'Climate'; remove: 'will'; replace: 'exacerbate' -> 'exacerbates'; replace: 'winter season' -> 'winter.'"
"75036ed23db5ddcf456776e7381e1af4bc714758f8724d57230e38dc29803c46"	"I can kind of see where you are coming from. I personally try to avoid too much nostalgia. Others seem to love it."	"I see where you are coming from. I personally try to avoid too much nostalgia. Others love it."	"remove: 'can kind of'; remove: 'seem to'"
"72ff77f98a97d91226f9ba854a18a0893145221f67befdc60d7dbacd43a8e6c9"	"Maybe you should take a different class."	"Take a different class."	"replace: 'Maybe you should take' -> 'Take'"
"cde12a83d5fc3de06f0c4d23548930219f569c8a5c8a7ea7348ad36096f7d306"	"I can not wait for the leaves to change color and the temperature to change."	"I look forward to the leaves changing color and the temperature changing."	"replace: 'can not wait for' -> 'look forward to'; replace: 'to change' -> 'changing'; replace: 'to change.' -> 'changing.'"
"d03a2b4646b593dd83830c068cae48622a8ab97c531e94938b554f2bceaa017e"	"I can not wait to go to the clubs!"	"I am excited to go to the clubs!"	"replace: 'can not wait' -> 'am excited'"
"4ae2da2f0f3003d52d3c85359081f59a71061445574d5d65ade4b22f6bec8664"	"We do not have a fence but I know my dog will stay in the yard"	"We do not have a fence but I know my dog stays in the yard"	"replace: 'will stay' -> 'stays'"
"1bc9866c4a7401b544eb713a599c158f11471e0cb74847be5f8f0ba9ec6d2a7e"	"I can not believe my daughter loves her new school so much. She does not like anything."	"I am surprised my daughter loves her new school so much. She does not like anything."	"replace: 'can not believe' -> 'am surprised'"
"c81fcc9e55ff0f092906622bd3a481b1a6af9b2c409bb620a08cc28ad849dcd0"	"Those are the kind you better keep a watch on. You never know what he might do."	"Those are the kind you keep a watch on. He does unpredictable things."	"remove: 'better'; replace: 'You never know what he might do.' -> 'He does unpredictable things.'"
"e05c0151aef33d8e1cb5eb59e180943b74053c79dd4ed498476ab5aa91a36eeb"	"I can understand that viewpoint. It is a very complicated issue though!"	"I understand that viewpoint. It is a very complicated issue though!"	"remove: 'can'"
"e0a8f98108ffcdbfe7dbd6a120e3a428cf09681db891a6727b0cf9f569e43631"	"that is my favorite food too! no wonder it was lovely. you should cook italian food often then"	"That is my favorite food too! No wonder it was lovely. Cook Italian food often."	"replace: 'that' -> 'That'; replace: 'no' -> 'No'; replace: 'you should cook italian' -> 'Cook Italian'; replace: 'often then' -> 'often.'"
"c34f73b65002f8b34ead8aea9666f2b5e705c7e6cc89852d04845d02722d6e85"	"YOU can not imagine!"	"YOU have no idea!"	"replace: 'can not imagine!' -> 'have no idea!'"
"8e47b1ff45360700bf56a2219fb0849d7a72cb42589fba6d80f9ec8d33bf3cf7"	"You should not lend money to anyone, even if it is your friend"	"Do not lend money to anyone, even if it is your friend."	"replace: 'You should' -> 'Do'; replace: 'friend' -> 'friend.'"
"cf2dad1abd169f5f2d065dfee54bb7aed1182e45ad48dc987e235cf11ec46c04"	"The other week I was walking a friend 's dog as a favour, but while out with the dog I lost it and could not find it for ages. It had run off into some trees, I was really getting anxious about it"	"The other week I was walking a friend's dog as a favour, but while out with the dog I lost it and did not find it for ages. It had run off into some trees. I was really getting anxious about it"	"replace: 'friend 's' -> 'friend's'; replace: 'could' -> 'did'; replace: 'trees,' -> 'trees.'"
"ebea279208e2d980f88e2956ccfad1144e71f8725e37d1a9e457d2b047fa0a65"	"I remember this time two years ago when I was expecting my youngest child we did not know whether she would be a boy or a girl. I was so excited when they told me the results were a girl."	"I remember this time two years ago when I was expecting my youngest child, we did not know whether she was a boy or a girl. I was so excited when they told me the results were a girl."	"replace: 'child' -> 'child,'; replace: 'would be' -> 'was'"
"a583937d97f6e7793093f061943505b4cbbd88a6a3252b9510e6be94a4a8cfa8"	"That must have been very upsetting. It happened to me back in 6th grade."	"That was very upsetting. It happened to me back in 6th grade."	"replace: 'must have been' -> 'was'"
"0a7f35152394c768f301a18e8193c616b6ccf496e424ae99030ef94e80ddf848"	"holy! that is a lot but she will get good use out of it"	"holy! that is a lot but she gets good use out of it"	"replace: 'will get' -> 'gets'"
"db80274e9224e8fe00c22e138df026a1fdc47a6bb401936bb4dbd8c1d40af9d8"	"My neighbor got this fancy audi that i saw at the dealership, it must have cost 70k. Very nice car"	"My neighbor got this fancy Audi that I saw at the dealership. It cost 70k. Very nice car"	"replace: 'audi' -> 'Audi'; replace: 'i' -> 'I'; replace: 'dealership, it must have' -> 'dealership. It'"
"b93229e10f35fb6f9e401b99d3115a6650fa744ed39ee41bb6c82d2b69ab87c4"	"my neighbor just installed a fancy pool, must have cost him 40k"	"My neighbor just installed a fancy pool; it cost him 40k."	"replace: 'my' -> 'My'; replace: 'pool, must have' -> 'pool; it'; replace: '40k' -> '40k.'"
"12b5a17b2cc491c1641902275efdd0cdbfc5ef4a7242810c6f24cf6a38dea25b"	"he must have been high"	"He was high."	"replace: 'he must have been high' -> 'He was high.'"
"2542970eebfb3f00fadac13a4300b7798addd68740349786e5fb2588a37f006f"	"Yeah, that is a scary thought. I try to think about what I can leave behind, and hope there is something past death."	"Yeah, that is a scary thought. I reflect on what I leave behind, and there is something past death."	"replace: 'try to think about' -> 'reflect on'; remove: 'can'; remove: 'hope'"
"8a25e2f1d2849363c608280e67baa54a93f4afb4875c23aa3d8387a1ea49c501"	"i can not even park where i want the neighbors keep stealing my parking spaces"	"I am unable to even park where I want; the neighbors keep stealing my parking spaces."	"replace: 'i can not' -> 'I am unable to'; replace: 'i want' -> 'I want;'; replace: 'spaces' -> 'spaces.'"
"8f1c29e3bcf9bfbb7365010115d78a9537148425d928c8798726b8e3c2ca3fe8"	"Wow that is even worse, I can not even fathom that, I am so sorry"	"Wow that is even worse, that is unfathomable, I am so sorry"	"replace: 'I can not even fathom that,' -> 'that is unfathomable,'"
"87c8d143673880ab5fcae8606d4253307b47c850b83de3baf7409926ca88f8ce"	"I can not get over bad I feel."	"I have not gotten over how bad I feel."	"replace: 'can' -> 'have'; replace: 'get' -> 'gotten'; add: 'how'"
"fdb8fb35b23a42e79b06b59ca3b01d85bbd476a791cd1b1df16fda1e2440a6d6"	"You can always talk to me. i am here for you"	"Talk to me anytime. I am here for you."	"replace: 'You can always talk' -> 'Talk'; replace: 'me. i' -> 'me anytime. I'; replace: 'you' -> 'you.'"
"1c85a3bfe5b8943a6384056d885d4fa690bbd51b397a8cbad5f2b63bc6e5f974"	"Sorry to hear that. All we can do is learn from it, really."	"Sorry to hear that. All we do is learn from it, really."	"remove: 'can'"
"75ee3674962a255c72e7e7c140f0b2a483ae09e935340f6ee54f636783bebe49"	"That is a relief I Have been in a similiar situation. I know its hard to bring yourself out of a hole, I can barely see the light at the end of the tunnell"	"That is a relief. I have been in a similar situation. I know it's hard to bring yourself out of a hole. I barely see the light at the end of the tunnel."	"replace: 'relief' -> 'relief.'; replace: 'Have' -> 'have'; replace: 'similiar' -> 'similar'; replace: 'its' -> 'it's'; replace: 'hole,' -> 'hole.'; remove: 'can'; replace: 'tunnell' -> 'tunnel.'"
"db7a51173f7a858b08e53a3be40d2938d17a7972d6e95cc2395e2a320d900dfd"	"I have got thick skin and can trade crass, classless, and politically disturbing jokes all day... but if someone insults my family with malice I go livid and deny all responsibility for whatever happens next"	"I have got thick skin and trade crass, classless, and politically disturbing jokes all day... but if someone insults my family with malice, I go livid and deny all responsibility for whatever happens next"	"remove: 'can'; replace: 'malice' -> 'malice,'"
"23655cb65febdccae03320dcb4234bb8fef1b9b7b8ab25229bc91a0d94e5dd52"	"Yes it was. I was furious and hurt. Leaders should not do that to their employees."	"Yes, it was. I was furious and hurt. It is unacceptable for leaders to do that to their employees."	"replace: 'Yes' -> 'Yes,'; replace: 'Leaders should not' -> 'It is unacceptable for leaders to'"
"11389d560df10607203afee1a72cb36fc3394f1ce7a40c99bbbd297a1c5ddfb8"	"I can imagine. I hope it all works out for the best and that you are able to come away from this as a stronger person."	"I understand. It will work out for the best and you will come away from this as a stronger person."	"replace: 'can imagine. I hope it all works' -> 'understand. It will work'; remove: 'that'; replace: 'are able to' -> 'will'"
"502a460c6a86b0202ce85879c5d49e76d8a7ef1592717d41a5a6fbdc0101f1d5"	"It had to do with an injury and who was at fault, and if a big company should be held responsible. It was a very big deal for him."	"It had to do with an injury and who was at fault, and whether a big company was held responsible. It was a very big deal for him."	"replace: 'if' -> 'whether'; replace: 'should be' -> 'was'"
"b0809e550406b8199b3a4f2e14d6dcadce5af3cb7a5c15c14874931775ed3aa8"	"I think that would be a very wise idea."	"That is a very wise idea."	"replace: 'I think that would be' -> 'That is'"
"2ab820c07193778088d97fd8ad1cfcf071123e6d8bec35235111826fb6c49aae"	"I can understand, the holidays are exciting, almost there though."	"I understand, the holidays are exciting, almost there though."	"remove: 'can'"
"4bb0080f483df98435267fd3709c00833dccd3b4ee834e8dac1b4f174f0d119f"	"I have taken him to the vet so hopefully we can take care of it!"	"I have taken him to the vet to have it taken care of."	"replace: 'so hopefully we can take' -> 'to have it taken'; replace: 'of it!' -> 'of.'"
"c7a24a3638801f2e425595b1b46c450f7727c8c9108ea16b1a064bcea2186d88"	"Going to see family. I just do not want to leave anything behind that I might need on the trip."	"Going to see family. I just do not want to leave anything behind that I need on the trip."	"remove: 'might'"
"a93f09aead0eb73c9f414ecb7f21e5eae0f7c909fb9278181fe1f6f3de782fb4"	"The other day I was at work and my friend would not help do any of the work! the entire day she just sat there and talked, I was so mad at her. I practically did all the work that day"	"The other day I was at work and my friend did not help do any of the work! The entire day she just sat there and talked. I was so mad at her. I practically did all the work that day"	"replace: 'would' -> 'did'; replace: 'the' -> 'The'; replace: 'talked,' -> 'talked.'"
"e0cf4619068abb60f123148dc6829042ecba0503befc621c89bf65fe836c784b"	"I just can not wait for this weekend"	"I am just excited for this weekend."	"add: 'am'; replace: 'can not wait' -> 'excited'; replace: 'weekend' -> 'weekend.'"
"b6790a8fa8f480a683d24acd45ed0e02cb8473a72c28a92a96b19c6ad4a415a0"	"They did, and I explained in as much detail as I could remember what he looked like. Hopefully they catch him."	"They did, and I explained what he looked like in as much detail as I remembered. They will catch him."	"add: 'what he looked like'; replace: 'could remember what he looked like. Hopefully they' -> 'remembered. They will'"
"59839f44a2f448f150bf50ff49d14fb9e3a0cccec4128aa627e1204f091a0722"	"I have been with my wife for over 10 years and have always been dedicated to her. I can not understand why some people cheat."	"I have been with my wife for over 10 years and have always been dedicated to her. I do not understand why some people cheat."	"replace: 'can' -> 'do'"
"d197c90ce287407acefa2915f68baad8767315e9cd9f45d877098d5f6401a8f1"	"And he can not stop lying all the time."	"And he does not stop lying all the time."	"replace: 'can' -> 'does'"
"8db565ab2820e1681348d3ff637e9e9ffc00add0e0226945bff3fcb19080b02e"	"I agree. I can not understand how his supporters do not see it! I guess they do not WANT to see it!"	"I agree. I do not understand how his supporters do not see it! They do not WANT to see it!"	"replace: 'can' -> 'do'; replace: 'I guess they' -> 'They'"
"1d77de75207687eef21c6c6c1daa3e9f299ad2d21cc20bbffe9b67ddb48032a9"	"I have never been ocean or sea kayaking before. I bet that would be very fun, especially if fishing were involved."	"I have never been ocean or sea kayaking before. It is very fun, especially if fishing is involved."	"replace: 'I bet that would be' -> 'It is'; replace: 'were' -> 'is'"
"ca3caae42d492ec5d2ab1c7545a84c8a9703fba6f573c35a7af6fae84dcac9d7"	"I can see the appeal. I have the opposite situation. Tiny sub- compact, but goes a long time on a tank."	"I see the appeal. I have the opposite situation. Tiny sub-compact, but it goes a long time on a tank."	"remove: 'can'; replace: 'sub- compact,' -> 'sub-compact,'; add: 'it'"
"c56d21b4cf94d0e5d760a94e62ed669e2a27cfb5c85cfef9c47e8dc027fec3c0"	"I have a friend that can jump rope for over an hour straight without stopping."	"I have a friend that jumps rope for over an hour straight without stopping."	"replace: 'can jump' -> 'jumps'"
"9dfccce5b536f02e90f8943db238633c1fb56bc5e2db9fd53b1c1bb570d86ddd"	"I can not believe the state of our politics in America."	"I do not believe the state of our politics in America."	"replace: 'can' -> 'do'"
"f99662b1110895f7adcc3302cb62556a7dff53dc449c72168a5cfcc50959a979"	"I agree, the political system we have is a mess and I think it will get worse."	"I agree, the political system we have is a mess and it will get worse."	"remove: 'I think'"
"90f7df90015bca7407a4e22dece72550ed2ec97bf428022719f2bd6177dd6901"	"That stinks! Try not to be jealous though. Something else will come your way."	"That stinks! Don't be jealous, though. Something else is coming your way."	"replace: 'Try not to' -> 'Don't'; replace: 'jealous' -> 'jealous,'; replace: 'will come' -> 'is coming'"
"35153fa814c4faa51a53398b01cb226416475ad56dd6a220f3be87f01020b860"	"I invested some of my money in the crypto market last year. The market looks terrible right now and I am afraid I will lose my money!"	"I invested some of my money in the crypto market last year. The market looks terrible right now and I am afraid I am losing my money!"	"replace: 'will lose' -> 'am losing'"
"044c24235e7d59e23ad7d6f1e2caa90618135c7362eb5d7d482ede637a7b5366"	"Oh no! What happened? I can not imagine having to go through something that scary."	"Oh no! What happened? I have no idea what going through something that scary is like."	"replace: 'can not imagine having to go' -> 'have no idea what going'; replace: 'scary.' -> 'scary is like.'"
"71b407d0ffa9248f7a257261250405887a584812999014cd62af0f2f1e007c6e"	"So I am headed out of town this weekend. Going to try my luck at the casino! I can not wait"	"So I am headed out of town this weekend. I'm trying my luck at the casino! I'm excited."	"replace: 'Going to try' -> 'I'm trying'; replace: 'I can not wait' -> 'I'm excited.'"
"53c0b6795c2cc3f5a680d702435272292deeb60ae97fa130701fb94bacb2898f"	"I have a 2 week vacation coming up that I am looking forward to. It is so hard to work when you can not wait!"	"I have a 2 week vacation coming up that I am looking forward to. It is so hard to work when I am too excited!"	"replace: 'you can not wait!' -> 'I am too excited!'"
"d9fa9c5fad1d6adc0bd0b74a7e1d6378975cc66a0d91a43913cd7382cb1732d3"	"I am sure if you explain it to them, and maybe treat them to lunch another day, they will forgive you, if they have not already."	"If you explain it to them and treat them to lunch another day, they forgive you if they have not already."	"replace: 'I am sure if' -> 'If'; replace: 'them,' -> 'them'; remove: 'maybe'; remove: 'will'; replace: 'you,' -> 'you'"
"8ccbb15ec5795b61b1a71a357278ff5344774ec849a8447b7a6f4a01597cfdda"	"I have the worst headache and can not get any of my cleaning done. It is frustrating."	"I have the worst headache and none of my cleaning is getting done. It is frustrating."	"replace: 'can not get any' -> 'none'; add: 'is getting'"
"cab24994e9586a8034ece373d4c8d87de182079d1624651889b8279db02b97f6"	"Not yet! We might go to Vegas, which is not too far away. But for now, it is just two weeks are R&R."	"Not yet! We are going to Vegas, which is not too far away. But for now, it's just two weeks of R&R."	"replace: 'might go' -> 'are going'; replace: 'it is' -> 'it's'; replace: 'are' -> 'of'"
"436c7edb82aa41db365955cd6facc4dd0d0410190e8742b7b34589e095deed26"	"That is a pretty tough word. I am happy your son did so great. You must have been beaming."	"That is a pretty tough word. I am happy your son did so great. You were beaming."	"replace: 'must have been' -> 'were'"
"d9c8df6c08a45c9dcb22307d5cefbae73638d02aa2f2909637491d7eedde8e09"	"I prefer night flying as well. I love how you can see the city lights moving, like it is the lifeblood of a living thing."	"I prefer night flying as well. I love how you see the city lights moving, like it is the lifeblood of a living thing."	"remove: 'can'"
"5154bc4d6f4b428ded97921c519abd28f0b62f1db94c12f7b0f95b89fe7fd6d5"	"That is good. Hopefully he can pay you back."	"That is good. He paid you back."	"replace: 'Hopefully he can pay' -> 'He paid'"
"75aab3884f6e364f86b48aa3133cafbfe61667ea12be6ba1c2c4e7122239be32"	"Most of my co- workers are incompetent and can not recognize basic patterns"	"Most of my co-workers are incompetent and do not recognize basic patterns"	"replace: 'co- workers' -> 'co-workers'; replace: 'can' -> 'do'"
"2c01ee2859c8710e7b515a24cae06cd2d91df8a0e91b4eb741fbe619f6e5ccad"	"You should feel bad for just cursing at a lady."	"You feel bad for just cursing at a lady."	"remove: 'should'"
"bba013bfd31b78747c93a13df2296907a9c63523b74c0b78d0a400337814a409"	"Nice advice, thanks. I will make sure I follow the advice."	"Nice advice, thanks. I follow the advice."	"remove: 'will make sure I'"
"5b9beb0f8433e50d87749b7c47c9751783ca4909bc978ce61151efbd0096635a"	"I just booked a place for a week at the beach later this month. I can not wait!"	"I just booked a place for a week at the beach later this month. I am excited!"	"replace: 'can not wait!' -> 'am excited!'"
"53520691ca06fd063765abfc2e3d93a3b8e97b6066798fc1ab1837d6f2393d3e"	"You should think about that for all of your stuff got situations like this."	"Think about that for all of your stuff if you have situations like this."	"replace: 'You should think' -> 'Think'; replace: 'got' -> 'if you have'"
"f49632b7ac238cae2daa8e5b11d6c6ef892f090bec28c149983da6806d602a5d"	"When I first started my current job I was very scared. I had to psyche myself up in order to just walk through the front door. I had never worked in that field before and was terrified I would do a bad job. I read self help books with positive outcomes in order to get through the first few weeks."	"When I first started my current job I was very scared. I psyched myself up just to walk through the front door. I had never worked in that field before and was terrified of doing a bad job. I read self help books with positive outcomes to get through the first few weeks."	"replace: 'had to psyche' -> 'psyched'; replace: 'in order' -> 'just'; remove: 'just'; replace: 'I would do' -> 'of doing'; remove: 'in order'"
"c4f7369f3990d28ee2cab5cee315188aa51db633ee72e500e9d1304fee648415"	"Yes it is! They get so bored during the summer. There is only so much I can do to entertain them."	"Yes it is! They get so bored during the summer. I only do a limited amount to entertain them."	"replace: 'There is' -> 'I'; remove: 'so much I can'; add: 'a limited amount'"
"b29d95bacd46e057487c74cb5ed6dea3b593a7ff527f63934a996d914bb8b28a"	"i just carry extra diapers but maybe i should start carrying exgtra clothing"	"I just carry extra diapers but I plan to start carrying extra clothing."	"replace: 'i' -> 'I'; replace: 'maybe i should' -> 'I plan to'; replace: 'exgtra clothing' -> 'extra clothing.'"
"9f450fa71f5b8a9d12555e994988cc2ffb877d6a720717f78e842492e0990663"	"you will get it done i believe in you"	"You are getting it done. I trust you."	"replace: 'you will get' -> 'You are getting'; replace: 'done i believe in you' -> 'done. I trust you.'"
"a028dc6bb080947346a2910b20c046b1b3c9ab1634fb017fb7a8d248a2a36891"	"so happy i could afford a 65 inch tv, i had a small 19 incher for years. it was not pleasant but i was poor and struggling"	"So happy I have a 65-inch TV. I had a small 19-incher for years. It was not pleasant, but I was poor and struggling."	"replace: 'so' -> 'So'; replace: 'i could afford' -> 'I have'; replace: '65 inch tv, i' -> '65-inch TV. I'; replace: '19 incher' -> '19-incher'; replace: 'it' -> 'It'; replace: 'pleasant' -> 'pleasant,'; replace: 'i' -> 'I'; replace: 'struggling' -> 'struggling.'"
"b613b8c6e178ffe21df17511e40d5f4489b66275f302af7509f3461a77413103"	"I have old dogs and I will do whatever it takes to make sure they are happy and well taken care of. I owe it to them."	"I have old dogs and I do whatever it takes to make sure they are happy and well taken care of. I owe it to them."	"remove: 'will'"
"ef97e72282d6ff3dcda3af4bf39a22f4052e65ebf3b0a5b958e936f719a4f318"	"I can not wait to see how my daughters turn out as adults."	"I am eager to see how my daughters turn out as adults."	"replace: 'can not wait' -> 'am eager'"
"bd21cc0c9f9fd8360a8f247fcbb2cfa2596e4ffdd98c1338179be7735c506058"	"I can never make up my mind on anything. I just want a good job now. Those days are gone."	"I never make up my mind on anything. I just want a good job now. Those days are gone."	"remove: 'can'"
"91a30425f6193b3fa4172e1a41d47453fe5070a702bde39c0c31c61921667e0c"	"YOu should try it. It reall was fun"	"Try it. It really was fun."	"replace: 'YOu should try' -> 'Try'; replace: 'reall' -> 'really'; replace: 'fun' -> 'fun.'"
"bf462d5f80fe759e122dfd38c127711ea523c450a36aba8dbc887dad0aa1bfe1"	"I can relate to that."	"I relate to that."	"remove: 'can'"
"1a2ac6267d72a31b54193567de03de34df0f8cbf96c8efbcfeb358fb4c77eeeb"	"I am sure you will be vindicated."	"You are vindicated."	"replace: 'I am sure you will be' -> 'You are'"
"094ebeab707b8d838641ce0473e3558b66f2bc1ee3ccfcae4d0ee95f8e35994e"	"I considered leaving her home so I could really enjoy the full experience myself, but I guess since she is only 2 I have to bring her with me."	"I considered leaving her home to really enjoy the full experience myself, but since she is only 2 I am bringing her with me."	"replace: 'so I could' -> 'to'; remove: 'I guess'; replace: 'have to bring' -> 'am bringing'"
"d5c894f9d7290aceb41bd3290a3db84c0ec0f78759f50f0cf1c0b36cfc3db012"	"I can not wait for the new Venom movie to come out! I am a big fan of Tom Hardy!"	"I am excited for the new Venom movie to come out! I am a big fan of Tom Hardy!"	"replace: 'can not wait' -> 'am excited'"
"d196da808a7f098d8033675a8dbe74650ab9841217bc6056e5d28d44fa80330b"	"What is wrong with marriage? I am not trying to jump obviously but I think it would be nice."	"What is wrong with marriage? I am not trying to jump obviously but I like the idea."	"replace: 'think it would be nice.' -> 'like the idea.'"
"25b0e887b9c0245c0cf328b030c84ddd307af589ae52f037d2a0c6926f17b62b"	"I was pretty shaken up when my son did not get home on time and I could not reach him"	"I was pretty shaken up when my son did not get home on time and I was unable to reach him."	"replace: 'could not' -> 'was unable to'; replace: 'him' -> 'him.'"
"7bcca2359bf621c238e98778b7155ba55f1c69f89edd89769bb3d304c0684b81"	"I am sure everything will work out fine:)"	"Everything works out fine :)"	"replace: 'I am sure everything will work' -> 'Everything works'; replace: 'fine:)' -> 'fine :)'"
"1c8223006d0a402433f82dcc2b693cba590a35302c953f19a8a1577ca09e6e09"	"I can not wait for the new Insurgency Sandstorm video game to come out on Steam. It was supposed to come out this summer but no news yet."	"I am eager for the new Insurgency Sandstorm video game to come out on Steam. It was scheduled to come out this summer, but there is no news yet."	"replace: 'can not wait' -> 'am eager'; replace: 'supposed' -> 'scheduled'; replace: 'summer' -> 'summer,'; add: 'there is'"
"8fd43cc1ef9b27bd61d8fc0d0e1f26308c02537c1b906aa2882766194ab8e825"	"I finally have a closing date on my home, and i can not wait!"	"I finally have a closing date on my home, and I am excited!"	"replace: 'i can not wait!' -> 'I am excited!'"
"996ec4bdf4154e25eed873d8fda2c09bf4cf2e25c8a63264a83c924ad8314c7a"	"Back when I was in the Navy, I hated studying for promotion tests, so you can imagine my reaction when I got selected."	"Back when I was in the Navy, I hated studying for promotion tests, so imagine my reaction when I got selected."	"remove: 'you can'"
"c09f017e6ffda05c38b47a7d22b8d03fb5fc6d824dc1073f2d362373b8f66a20"	"I found a biggest spider in my shower this morning. I never knew I could shriek like that.."	"I found the biggest spider in my shower this morning. I never knew I shrieked like that."	"replace: 'a' -> 'the'; replace: 'could shriek' -> 'shrieked'; replace: 'that..' -> 'that.'"
"83adee296e0c813617b3206eddfe5ea095c30438966a1c9a744556fbc4c86aca"	"Public speeches always get me. It makes me very nervous and I just can not do them."	"Public speeches always get me. They make me very nervous and I am unable to do them."	"replace: 'It makes' -> 'They make'; replace: 'just can not' -> 'am unable to'"
"39a1379178ff267a0e6e0e3aad20b54a4523dd282c4a91f1e6d8a7afdbabf2d1"	"I know. I have return 5 wallets before. I can not even count how many phones."	"I know. I have returned 5 wallets before. I have lost count of how many phones."	"replace: 'return' -> 'returned'; replace: 'can not even' -> 'have lost'; add: 'of'"
"a15214f00b10b821a7094b9e321561e5901b51804fff8375401e9aa8f0ae3885"	"I got to see a lot of my favorite movies I have been waiting for and a lot of great concerts! I am anticipating next summer and can not wait!"	"I saw a lot of my favorite movies I had been waiting for and attended a lot of great concerts! I am anticipating next summer and looking forward to it!"	"replace: 'got to see' -> 'saw'; replace: 'have' -> 'had'; add: 'attended'; replace: 'can not wait!' -> 'looking forward to it!'"
"5563235ff6febd6726d0eca276f28b851e918dd758fa8f0ea61c3948d418a88f"	"My friend just bought a new sports car. I really wish I could afford a sports car too."	"My friend just bought a new sports car. I really want a sports car too, but I do not have the money."	"replace: 'wish I could afford' -> 'want'; replace: 'too.' -> 'too, but I do not have the money.'"
"f48c0f0f08ec3c89c2f783310013f888ec6f2dcb6c4ab4f9e369e4b18fd73a41"	"Omg. You should take your dog to an obedience school."	"Omg. Take your dog to an obedience school."	"replace: 'You should take' -> 'Take'"
"4b3547f23bcbf8f28e74855729f3a0d95ce69131b5b37b47f67fca91dae637a4"	"Keep it that way. If too many people find out it might ruin the experience."	"Keep it that way. If too many people find out, it ruins the experience."	"replace: 'out' -> 'out,'; replace: 'might ruin' -> 'ruins'"
