sentence,entailment
"""Clyde was killing Keith"" entails ""Clyde was injuring Keith""",1
"""Clyde was killing Keith"" entails ""Clyde has injured Keith""",0
"""Clyde was killing Keith"" entails ""Clyde had injured Keith""",1
"""Clyde was killing Keith"" entails ""Clyde will injure Keith""",0
"""Clyde was killing Keith"" entails ""Clyde injures Keith""",0
"""Clyde was killing Keith"" entails ""Clyde injured Keith""",1
"""Clyde has killed Keith"" entails ""Clyde is injuring Keith""",0
"""Clyde has killed Keith"" entails ""Clyde was injuring Keith""",1
"""Clyde has killed Keith"" entails ""Clyde has injured Keith""",0
"""Clyde has killed Keith"" entails ""Clyde had injured Keith""",1
"""Clyde has killed Keith"" entails ""Clyde will injure Keith""",0
"""Clyde has killed Keith"" entails ""Clyde injures Keith""",0
"""Clyde has killed Keith"" entails ""Clyde injured Keith""",1
"""Clyde had killed Keith"" entails ""Clyde is injuring Keith""",0
"""Clyde had killed Keith"" entails ""Clyde was injuring Keith""",1
"""Clyde had killed Keith"" entails ""Clyde has injured Keith""",0
"""Clyde had killed Keith"" entails ""Clyde had injured Keith""",1
"""Clyde had killed Keith"" entails ""Clyde will injure Keith""",0
"""Clyde had killed Keith"" entails ""Clyde injures Keith""",0
"""Clyde had killed Keith"" entails ""Clyde injured Keith""",1
"""Clyde will kill Keith"" entails ""Clyde is injuring Keith""",0
"""Clyde will kill Keith"" entails ""Clyde was injuring Keith""",0
"""Clyde will kill Keith"" entails ""Clyde has injured Keith""",0
"""Clyde will kill Keith"" entails ""Clyde had injured Keith""",0
"""Clyde will kill Keith"" entails ""Clyde will injure Keith""",1
"""Clyde will kill Keith"" entails ""Clyde injures Keith""",0
"""Clyde will kill Keith"" entails ""Clyde injured Keith""",0
"""Clyde kills Keith"" entails ""Clyde is injuring Keith""",0
"""Clyde kills Keith"" entails ""Clyde was injuring Keith""",1
"""Clyde kills Keith"" entails ""Clyde has injured Keith""",0
"""Clyde kills Keith"" entails ""Clyde had injured Keith""",1
"""Clyde kills Keith"" entails ""Clyde will injure Keith""",0
"""Clyde kills Keith"" entails ""Clyde injures Keith""",0
"""Clyde kills Keith"" entails ""Clyde injured Keith""",1
"""Clyde killed Keith"" entails ""Clyde is injuring Keith""",0
"""Clyde killed Keith"" entails ""Clyde was injuring Keith""",1
"""Clyde killed Keith"" entails ""Clyde has injured Keith""",0
"""Clyde killed Keith"" entails ""Clyde had injured Keith""",1
"""Clyde killed Keith"" entails ""Clyde will injure Keith""",0
"""Clyde killed Keith"" entails ""Clyde injures Keith""",0
"""Clyde killed Keith"" entails ""Clyde injured Keith""",1
"""Clyde is injuring Keith"" entails ""Clyde is killing Keith""",0
"""Clyde is injuring Keith"" entails ""Clyde was killing Keith""",0
"""Clyde is injuring Keith"" entails ""Clyde has killed Keith""",0
"""Clyde is injuring Keith"" entails ""Clyde had killed Keith""",0
"""Clyde is injuring Keith"" entails ""Clyde will kill Keith""",0
"""Clyde is injuring Keith"" entails ""Clyde kills Keith""",0
"""Clyde is injuring Keith"" entails ""Clyde killed Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde is killing Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde was killing Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde has killed Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde had killed Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde will kill Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde kills Keith""",0
"""Clyde was injuring Keith"" entails ""Clyde killed Keith""",0
"""Clyde has injured Keith"" entails ""Clyde is killing Keith""",0
"""Clyde has injured Keith"" entails ""Clyde was killing Keith""",0
"""Clyde has injured Keith"" entails ""Clyde has killed Keith""",0
"""Clyde has injured Keith"" entails ""Clyde had killed Keith""",0
"""Clyde has injured Keith"" entails ""Clyde will kill Keith""",0
"""Clyde has injured Keith"" entails ""Clyde kills Keith""",0
"""Clyde has injured Keith"" entails ""Clyde killed Keith""",0
"""Clyde had injured Keith"" entails ""Clyde is killing Keith""",0
"""Clyde had injured Keith"" entails ""Clyde was killing Keith""",0
"""Clyde had injured Keith"" entails ""Clyde has killed Keith""",0
"""Clyde had injured Keith"" entails ""Clyde had killed Keith""",0
"""Clyde had injured Keith"" entails ""Clyde will kill Keith""",0
"""Clyde had injured Keith"" entails ""Clyde kills Keith""",0
"""Clyde had injured Keith"" entails ""Clyde killed Keith""",0
"""Clyde will injure Keith"" entails ""Clyde is killing Keith""",0
"""Clyde will injure Keith"" entails ""Clyde was killing Keith""",0
"""Clyde will injure Keith"" entails ""Clyde has killed Keith""",0
"""Clyde will injure Keith"" entails ""Clyde had killed Keith""",0
"""Clyde will injure Keith"" entails ""Clyde will kill Keith""",0
"""Clyde will injure Keith"" entails ""Clyde kills Keith""",0
"""Clyde will injure Keith"" entails ""Clyde killed Keith""",0
"""Clyde injures Keith"" entails ""Clyde is killing Keith""",0
"""Clyde injures Keith"" entails ""Clyde was killing Keith""",0
"""Clyde injures Keith"" entails ""Clyde has killed Keith""",0
"""Clyde injures Keith"" entails ""Clyde had killed Keith""",0
"""Clyde injures Keith"" entails ""Clyde will kill Keith""",0
"""Clyde injures Keith"" entails ""Clyde kills Keith""",0
"""Clyde injures Keith"" entails ""Clyde killed Keith""",0
"""Clyde injured Keith"" entails ""Clyde is killing Keith""",0
"""Clyde injured Keith"" entails ""Clyde was killing Keith""",0
"""Clyde injured Keith"" entails ""Clyde has killed Keith""",0
"""Clyde injured Keith"" entails ""Clyde had killed Keith""",0
"""Clyde injured Keith"" entails ""Clyde will kill Keith""",0
"""Clyde injured Keith"" entails ""Clyde kills Keith""",0
"""Clyde injured Keith"" entails ""Clyde killed Keith""",0
"""Matt is writing the novel"" entails ""Matt is publishing the novel""",0
"""Matt is writing the novel"" entails ""Matt was publishing the novel""",0
"""Matt is writing the novel"" entails ""Matt has published the novel""",0
"""Matt is writing the novel"" entails ""Matt had published the novel""",0
"""Matt is writing the novel"" entails ""Matt will publish the novel""",0
"""Matt is writing the novel"" entails ""Matt publishes the novel""",0
"""Matt is writing the novel"" entails ""Matt published the novel""",0
"""Matt was writing the novel"" entails ""Matt is publishing the novel""",0
"""Matt was writing the novel"" entails ""Matt was publishing the novel""",0
"""Matt was writing the novel"" entails ""Matt has published the novel""",0
"""Matt was writing the novel"" entails ""Matt had published the novel""",0
"""Matt was writing the novel"" entails ""Matt will publish the novel""",0
"""Matt was writing the novel"" entails ""Matt publishes the novel""",0
"""Matt was writing the novel"" entails ""Matt published the novel""",0
"""Matt has written the novel"" entails ""Matt is publishing the novel""",0
"""Matt has written the novel"" entails ""Matt was publishing the novel""",0
"""Matt has written the novel"" entails ""Matt has published the novel""",0
"""Matt has written the novel"" entails ""Matt had published the novel""",0
"""Matt has written the novel"" entails ""Matt will publish the novel""",0
"""Matt has written the novel"" entails ""Matt publishes the novel""",0
"""Matt has written the novel"" entails ""Matt published the novel""",0
"""Matt had written the novel"" entails ""Matt is publishing the novel""",0
"""Matt had written the novel"" entails ""Matt was publishing the novel""",0
"""Matt had written the novel"" entails ""Matt has published the novel""",0
"""Matt had written the novel"" entails ""Matt had published the novel""",0
"""Matt had written the novel"" entails ""Matt will publish the novel""",0
"""Matt had written the novel"" entails ""Matt publishes the novel""",0
"""Matt had written the novel"" entails ""Matt published the novel""",0
"""Matt will write the novel"" entails ""Matt is publishing the novel""",0
"""Matt will write the novel"" entails ""Matt was publishing the novel""",0
"""Matt will write the novel"" entails ""Matt has published the novel""",0
"""Matt will write the novel"" entails ""Matt had published the novel""",0
"""Matt will write the novel"" entails ""Matt will publish the novel""",0
"""Matt will write the novel"" entails ""Matt publishes the novel""",0
"""Matt will write the novel"" entails ""Matt published the novel""",0
"""Matt writes the novel"" entails ""Matt is publishing the novel""",0
"""Matt writes the novel"" entails ""Matt was publishing the novel""",0
"""Matt writes the novel"" entails ""Matt has published the novel""",0
"""Matt writes the novel"" entails ""Matt had published the novel""",0
"""Matt writes the novel"" entails ""Matt will publish the novel""",0
"""Matt writes the novel"" entails ""Matt publishes the novel""",0
"""Matt writes the novel"" entails ""Matt published the novel""",0
"""Matt wrote the novel"" entails ""Matt is publishing the novel""",0
"""Matt wrote the novel"" entails ""Matt was publishing the novel""",0
"""Matt wrote the novel"" entails ""Matt has published the novel""",0
"""Matt wrote the novel"" entails ""Matt had published the novel""",0
"""Matt wrote the novel"" entails ""Matt will publish the novel""",0
"""Matt wrote the novel"" entails ""Matt publishes the novel""",0
"""Matt wrote the novel"" entails ""Matt published the novel""",0
"""Matt is publishing the novel"" entails ""Matt is writing the novel""",0
"""Matt is publishing the novel"" entails ""Matt was writing the novel""",1
"""Matt is publishing the novel"" entails ""Matt has written the novel""",1
"""Matt is publishing the novel"" entails ""Matt had written the novel""",1
"""Matt is publishing the novel"" entails ""Matt will write the novel""",0
"""Matt is publishing the novel"" entails ""Matt writes the novel""",0
"""Matt is publishing the novel"" entails ""Matt wrote the novel""",1
"""Matt was publishing the novel"" entails ""Matt is writing the novel""",0
"""Matt was publishing the novel"" entails ""Matt was writing the novel""",1
"""Matt was publishing the novel"" entails ""Matt has written the novel""",0
"""Matt was publishing the novel"" entails ""Matt had written the novel""",1
"""Matt was publishing the novel"" entails ""Matt will write the novel""",0
"""Matt was publishing the novel"" entails ""Matt writes the novel""",0
"""Matt was publishing the novel"" entails ""Matt wrote the novel""",1
"""Matt has published the novel"" entails ""Matt is writing the novel""",0
"""Matt has published the novel"" entails ""Matt was writing the novel""",1
"""Matt has published the novel"" entails ""Matt has written the novel""",0
"""Matt has published the novel"" entails ""Matt had written the novel""",1
"""Matt has published the novel"" entails ""Matt will write the novel""",0
"""Matt has published the novel"" entails ""Matt writes the novel""",0
"""Matt has published the novel"" entails ""Matt wrote the novel""",1
"""Matt had published the novel"" entails ""Matt is writing the novel""",0
"""Matt had published the novel"" entails ""Matt was writing the novel""",1
"""Matt had published the novel"" entails ""Matt has written the novel""",0
"""Matt had published the novel"" entails ""Matt had written the novel""",1
"""Matt had published the novel"" entails ""Matt will write the novel""",0
"""Matt had published the novel"" entails ""Matt writes the novel""",0
"""Matt had published the novel"" entails ""Matt wrote the novel""",1
"""Matt will publish the novel"" entails ""Matt is writing the novel""",1
"""Matt will publish the novel"" entails ""Matt was writing the novel""",1
"""Matt will publish the novel"" entails ""Matt has written the novel""",0
"""Matt will publish the novel"" entails ""Matt had written the novel""",0
"""Matt will publish the novel"" entails ""Matt will write the novel""",0
"""Matt will publish the novel"" entails ""Matt writes the novel""",0
"""Matt will publish the novel"" entails ""Matt wrote the novel""",0
"""Matt publishes the novel"" entails ""Matt is writing the novel""",0
"""Matt publishes the novel"" entails ""Matt was writing the novel""",1
"""Matt publishes the novel"" entails ""Matt has written the novel""",0
"""Matt publishes the novel"" entails ""Matt had written the novel""",1
"""Matt publishes the novel"" entails ""Matt will write the novel""",0
"""Matt publishes the novel"" entails ""Matt writes the novel""",0
"""Matt publishes the novel"" entails ""Matt wrote the novel""",1
"""Matt published the novel"" entails ""Matt is writing the novel""",0
"""Matt published the novel"" entails ""Matt was writing the novel""",1
"""Matt published the novel"" entails ""Matt has written the novel""",0
"""Matt published the novel"" entails ""Matt had written the novel""",1
"""Matt published the novel"" entails ""Matt will write the novel""",0
"""Matt published the novel"" entails ""Matt writes the novel""",0
"""Matt published the novel"" entails ""Matt wrote the novel""",1
"""Italy is attacking Spain"" entails ""Italy is occupying Spain""",0
"""Italy is attacking Spain"" entails ""Italy was occupying Spain""",0
"""Italy is attacking Spain"" entails ""Italy has occupied Spain""",0
"""Italy is attacking Spain"" entails ""Italy had occupied Spain""",0
"""Italy is attacking Spain"" entails ""Italy will occupy Spain""",0
"""Italy is attacking Spain"" entails ""Italy occupies Spain""",0
"""Italy is attacking Spain"" entails ""Italy occupied Spain""",0
"""Italy was attacking Spain"" entails ""Italy is occupying Spain""",0
"""Italy was attacking Spain"" entails ""Italy was occupying Spain""",0
"""Italy was attacking Spain"" entails ""Italy has occupied Spain""",0
"""Italy was attacking Spain"" entails ""Italy had occupied Spain""",0
"""Italy was attacking Spain"" entails ""Italy will occupy Spain""",0
"""Italy was attacking Spain"" entails ""Italy occupies Spain""",0
"""Italy was attacking Spain"" entails ""Italy occupied Spain""",0
"""Italy has attacked Spain"" entails ""Italy is occupying Spain""",0
"""Italy has attacked Spain"" entails ""Italy was occupying Spain""",0
"""Italy has attacked Spain"" entails ""Italy has occupied Spain""",0
"""Italy has attacked Spain"" entails ""Italy had occupied Spain""",0
"""Italy has attacked Spain"" entails ""Italy will occupy Spain""",0
"""Italy has attacked Spain"" entails ""Italy occupies Spain""",0
"""Italy has attacked Spain"" entails ""Italy occupied Spain""",0
"""Italy had attacked Spain"" entails ""Italy is occupying Spain""",0
"""Italy had attacked Spain"" entails ""Italy was occupying Spain""",0
"""Italy had attacked Spain"" entails ""Italy has occupied Spain""",0
"""Italy had attacked Spain"" entails ""Italy had occupied Spain""",0
"""Italy had attacked Spain"" entails ""Italy will occupy Spain""",0
"""Italy had attacked Spain"" entails ""Italy occupies Spain""",0
"""Italy had attacked Spain"" entails ""Italy occupied Spain""",0
"""Italy will attack Spain"" entails ""Italy is occupying Spain""",0
"""Italy will attack Spain"" entails ""Italy was occupying Spain""",0
"""Italy will attack Spain"" entails ""Italy has occupied Spain""",0
"""Italy will attack Spain"" entails ""Italy had occupied Spain""",0
"""Italy will attack Spain"" entails ""Italy will occupy Spain""",0
"""Italy will attack Spain"" entails ""Italy occupies Spain""",0
"""Italy will attack Spain"" entails ""Italy occupied Spain""",0
"""Italy attacks Spain"" entails ""Italy is occupying Spain""",0
"""Italy attacks Spain"" entails ""Italy was occupying Spain""",0
"""Italy attacks Spain"" entails ""Italy has occupied Spain""",0
"""Italy attacks Spain"" entails ""Italy had occupied Spain""",0
"""Italy attacks Spain"" entails ""Italy will occupy Spain""",0
"""Italy attacks Spain"" entails ""Italy occupies Spain""",0
"""Italy attacks Spain"" entails ""Italy occupied Spain""",0
"""Italy attacked Spain"" entails ""Italy is occupying Spain""",0
"""Italy attacked Spain"" entails ""Italy was occupying Spain""",0
"""Italy attacked Spain"" entails ""Italy has occupied Spain""",0
"""Italy attacked Spain"" entails ""Italy had occupied Spain""",0
"""Italy attacked Spain"" entails ""Italy will occupy Spain""",0
"""Italy attacked Spain"" entails ""Italy occupies Spain""",0
"""Italy attacked Spain"" entails ""Italy occupied Spain""",0
"""Italy is occupying Spain"" entails ""Italy is attacking Spain""",1
"""Italy is occupying Spain"" entails ""Italy was attacking Spain""",1
"""Italy is occupying Spain"" entails ""Italy has attacked Spain""",1
"""Italy is occupying Spain"" entails ""Italy had attacked Spain""",1
"""Italy is occupying Spain"" entails ""Italy will attack Spain""",0
"""Italy is occupying Spain"" entails ""Italy attacks Spain""",1
"""Italy is occupying Spain"" entails ""Italy attacked Spain""",1
"""Italy was occupying Spain"" entails ""Italy is attacking Spain""",0
"""Italy was occupying Spain"" entails ""Italy was attacking Spain""",1
"""Italy was occupying Spain"" entails ""Italy has attacked Spain""",0
"""Italy was occupying Spain"" entails ""Italy had attacked Spain""",1
"""Italy was occupying Spain"" entails ""Italy will attack Spain""",0
"""Italy was occupying Spain"" entails ""Italy attacks Spain""",0
"""Italy was occupying Spain"" entails ""Italy attacked Spain""",1
"""Italy has occupied Spain"" entails ""Italy is attacking Spain""",1
"""Italy has occupied Spain"" entails ""Italy was attacking Spain""",1
"""Italy has occupied Spain"" entails ""Italy has attacked Spain""",1
"""Italy has occupied Spain"" entails ""Italy had attacked Spain""",1
"""Italy has occupied Spain"" entails ""Italy will attack Spain""",0
"""Italy has occupied Spain"" entails ""Italy attacks Spain""",1
"""Italy has occupied Spain"" entails ""Italy attacked Spain""",1
"""Italy had occupied Spain"" entails ""Italy is attacking Spain""",0
"""Italy had occupied Spain"" entails ""Italy was attacking Spain""",1
"""Italy had occupied Spain"" entails ""Italy has attacked Spain""",0
"""Italy had occupied Spain"" entails ""Italy had attacked Spain""",1
"""Italy had occupied Spain"" entails ""Italy will attack Spain""",0
"""Italy had occupied Spain"" entails ""Italy attacks Spain""",0
"""Italy had occupied Spain"" entails ""Italy attacked Spain""",1
"""Italy will occupy Spain"" entails ""Italy is attacking Spain""",0
"""Italy will occupy Spain"" entails ""Italy was attacking Spain""",0
"""Italy will occupy Spain"" entails ""Italy has attacked Spain""",0
"""Italy will occupy Spain"" entails ""Italy had attacked Spain""",0
"""Italy will occupy Spain"" entails ""Italy will attack Spain""",1
"""Italy will occupy Spain"" entails ""Italy attacks Spain""",0
"""Italy will occupy Spain"" entails ""Italy attacked Spain""",0
"""Italy occupies Spain"" entails ""Italy is attacking Spain""",1
"""Italy occupies Spain"" entails ""Italy was attacking Spain""",1
"""Italy occupies Spain"" entails ""Italy has attacked Spain""",0
"""Italy occupies Spain"" entails ""Italy had attacked Spain""",1
"""Italy occupies Spain"" entails ""Italy will attack Spain""",0
"""Italy occupies Spain"" entails ""Italy attacks Spain""",1
"""Italy occupies Spain"" entails ""Italy attacked Spain""",1
"""Italy occupied Spain"" entails ""Italy is attacking Spain""",0
"""Italy occupied Spain"" entails ""Italy was attacking Spain""",1
"""Italy occupied Spain"" entails ""Italy has attacked Spain""",0
"""Italy occupied Spain"" entails ""Italy had attacked Spain""",1
"""Italy occupied Spain"" entails ""Italy will attack Spain""",0
"""Italy occupied Spain"" entails ""Italy attacks Spain""",0
"""Italy occupied Spain"" entails ""Italy attacked Spain""",1
"""Norway is occupying Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway is occupying Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway is occupying Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway is occupying Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway is occupying Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway is occupying Sweden"" entails ""Norway bombs Sweden""",0
"""Norway is occupying Sweden"" entails ""Norway bombed Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway bombs Sweden""",0
"""Norway was occupying Sweden"" entails ""Norway bombed Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway bombs Sweden""",0
"""Norway has occupied Sweden"" entails ""Norway bombed Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway bombs Sweden""",0
"""Norway had occupied Sweden"" entails ""Norway bombed Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway bombs Sweden""",0
"""Norway will occupy Sweden"" entails ""Norway bombed Sweden""",0
"""Norway occupies Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway occupies Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway occupies Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway occupies Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway occupies Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway occupies Sweden"" entails ""Norway bombs Sweden""",0
"""Norway occupies Sweden"" entails ""Norway bombed Sweden""",0
"""Norway occupied Sweden"" entails ""Norway is bombing Sweden""",0
"""Norway occupied Sweden"" entails ""Norway was bombing Sweden""",0
"""Norway occupied Sweden"" entails ""Norway has bombed Sweden""",0
"""Norway occupied Sweden"" entails ""Norway had bombed Sweden""",0
"""Norway occupied Sweden"" entails ""Norway will bomb Sweden""",0
"""Norway occupied Sweden"" entails ""Norway bombs Sweden""",0
"""Norway occupied Sweden"" entails ""Norway bombed Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway occupies Sweden""",0
"""Norway is bombing Sweden"" entails ""Norway occupied Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway occupies Sweden""",0
"""Norway was bombing Sweden"" entails ""Norway occupied Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway occupies Sweden""",0
"""Norway has bombed Sweden"" entails ""Norway occupied Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway occupies Sweden""",0
"""Norway had bombed Sweden"" entails ""Norway occupied Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway occupies Sweden""",0
"""Norway will bomb Sweden"" entails ""Norway occupied Sweden""",0
"""Norway bombs Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway bombs Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway bombs Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway bombs Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway bombs Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway bombs Sweden"" entails ""Norway occupies Sweden""",0
"""Norway bombs Sweden"" entails ""Norway occupied Sweden""",0
"""Norway bombed Sweden"" entails ""Norway is occupying Sweden""",0
"""Norway bombed Sweden"" entails ""Norway was occupying Sweden""",0
"""Norway bombed Sweden"" entails ""Norway has occupied Sweden""",0
"""Norway bombed Sweden"" entails ""Norway had occupied Sweden""",0
"""Norway bombed Sweden"" entails ""Norway will occupy Sweden""",0
"""Norway bombed Sweden"" entails ""Norway occupies Sweden""",0
"""Norway bombed Sweden"" entails ""Norway occupied Sweden""",0
"""Mary is travelling to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary is travelling to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary is travelling to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary is travelling to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary is travelling to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary is travelling to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary is travelling to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary was travelling to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary has travelled to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary had travelled to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary will travel to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary travels to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary is booking the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary was booking the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary has booked the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary had booked the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary will book the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary books the ticket to Borneo""",0
"""Mary travelled to Borneo"" entails ""Mary booked the ticket to Borneo""",0
"""Mary is booking the ticket to Borneo"" entails ""Mary is travelling to Borneo""",0
"""Mary is booking the ticket to Borneo"" entails ""Mary was travelling to Borneo""",0
